AFPO1992FDT_MOTTAK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPO2011FDT_GRAD__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPO2011FDT_GRAD__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPO2011FDT_GRAD__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPO2011FDT_MOTTAK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPO2011FDT_MOTTAK__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPO2011FDT_MOTTAK__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPP1992FDT_MOTTAK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPP2011FDT_GRAD__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPP2011FDT_GRAD__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPP2011FDT_GRAD__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPP2011FDT_MOTTAK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPP2011FDT_MOTTAK__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
AFPP2011FDT_MOTTAK__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ALDPENSJ1992FDT_MOTTAK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ALDPENSJ2011FDT_GRAD__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ALDPENSJ2011FDT_GRAD__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ALDPENSJ2011FDT_GRAD__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ALDPENSJ2011FDT_MOTTAK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ALDPENSJ2011FDT_MOTTAK__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ALDPENSJ2011FDT_MOTTAK__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBAVKLARPFDT_MOTTAK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBAVKLARPFDT_MOTTAK__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBAVKLARPFDT_MOTTAK__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBEIDSFORHOLD_PERSON__12_1, ident.UnitType: JOBB, measure.UnitType: PERSON, measure.format: RandomUInt48
ARBLONN_ARB_ARBEIDSTID__12_1, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_ARB_ARBKOMM__13_0, ident.UnitType: JOBB, measure.UnitType: KOMMUNE, measure.format: None
ARBLONN_ARB_ARBMARK_STATUS__12_1, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_ARB_H3LDELTID__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_ARB_HELDELTID__12_1, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
